time,seconds_elapsed,z,y,x
1760903910567877000,0.235877197265625,-0.26265811920166016,-0.2124621868133545,-0.3793301582336426
1760903910577566200,0.245566162109375,-0.3219776153564453,-0.27696260809898376,-0.49835455417633057
1760903910587255300,0.25525537109375,-0.3090400695800781,-0.3732774257659912,-0.5620272159576416
1760903910596944400,0.2649443359375,-0.27378368377685547,-0.502015233039856,-0.5486025810241699
1760903910606633500,0.274633544921875,-0.1896200180053711,-0.6153284907341003,-0.47779691219329834
1760903910616322600,0.284322509765625,-0.1471691131591797,-0.7971982955932617,-0.4573547840118408
1760903910626011600,0.29401171875,-0.14516830444335938,-0.9536615610122681,-0.4219878911972046
1760903910635700700,0.30370068359375,-0.11896896362304688,-1.094172716140747,-0.4561072587966919
1760903910645389800,0.313389892578125,-0.039203643798828125,-1.2533376216888428,-0.5013662576675415
1760903910655079200,0.3230791015625,-0.010339736938476562,-1.4004042148590088,-0.4949997663497925
1760903910664768300,0.332768310546875,0.0027074813842773438,-1.483961820602417,-0.44895339012145996
1760903910674457300,0.342457275390625,0.041632652282714844,-1.5663591623306274,-0.381223201751709
1760903910684146400,0.352146484375,-0.04700946807861328,-1.628146767616272,-0.24990463256835938
1760903910693835500,0.36183544921875,-0.21113014221191406,-1.6637049913406372,-0.14180755615234375
1760903910703524600,0.371524658203125,-0.3890800476074219,-1.7494722604751587,-0.11910796165466309
1760903910713213700,0.381213623046875,-0.5859575271606445,-1.8506410121917725,-0.18309473991394043
1760903910722902800,0.39090283203125,-0.7611732482910156,-1.8662604093551636,-0.26763105392456055
1760903910732591900,0.400591796875,-0.9395437240600586,-1.863095998764038,-0.337116003036499
1760903910742281000,0.410281005859375,-1.0806198120117188,-1.8218886852264404,-0.329395055770874
1760903910751970000,0.419969970703125,-1.0808172225952148,-1.8346275091171265,-0.2509791851043701
1760903910761659100,0.4296591796875,-0.9912614822387695,-1.8257471323013306,-0.1530778408050537
1760903910771348500,0.439348388671875,-0.9204320907592773,-1.7681207656860352,0.029448270797729492
1760903910781037600,0.44903759765625,-0.8624191284179688,-1.6671689748764038,0.2487647533416748
1760903910790726700,0.4587265625,-0.8441085815429688,-1.6108067035675049,0.3519783020019531
1760903910800415700,0.468415771484375,-0.9290628433227539,-1.559187889099121,0.43360066413879395
1760903910810104800,0.478104736328125,-0.9296636581420898,-1.473812222480774,0.4919635057449341
1760903910819794000,0.4877939453125,-0.830693244934082,-1.4718631505966187,0.5257160663604736
1760903910829483000,0.49748291015625,-0.5750579833984375,-1.5521401166915894,0.5349833965301514
1760903910839172000,0.507172119140625,-0.2643289566040039,-1.6307730674743652,0.6414860486984253
1760903910848861200,0.516861083984375,-0.001605987548828125,-1.644399881362915,0.7264721393585205
1760903910858550500,0.526550537109375,0.2525472640991211,-1.6287164688110352,0.8989278078079224
1760903910868239600,0.536239501953125,0.4348583221435547,-1.6033427715301514,1.1379858255386353
1760903910877928700,0.5459287109375,0.5206680297851562,-1.6005594730377197,1.3718836307525635
1760903910887617800,0.55561767578125,0.47106075286865234,-1.6467028856277466,1.5092488527297974
1760903910897307000,0.565306884765625,0.30809974670410156,-1.7627325057983398,1.478205680847168
1760903910906996000,0.574995849609375,0.1601400375366211,-1.6852651834487915,1.4081156253814697
1760903910916685000,0.58468505859375,0.025902748107910156,-1.4981353282928467,1.3898802995681763
1760903910926374100,0.5943740234375,-0.17523193359375,-1.3105816841125488,1.5353715419769287
1760903910936063200,0.604063232421875,-0.33486270904541016,-1.079461932182312,1.815574288368225
1760903910945752300,0.61375244140625,-0.40715980529785156,-0.8092646598815918,2.0838124752044678
1760903910955441400,0.62344140625,-0.42684459686279297,-0.5789906978607178,2.2755603790283203
1760903910965130500,0.633130615234375,-0.3762941360473633,-0.3734061121940613,2.36506986618042
1760903910974819800,0.64281982421875,-0.2566719055175781,-0.2536531984806061,2.3186278343200684
1760903910984509000,0.652509033203125,-0.11107730865478516,-0.16301758587360382,2.2721288204193115
1760903910994198000,0.662197998046875,-0.033652305603027344,-0.11610378324985504,2.2393271923065186
1760903911003887000,0.67188720703125,0.01427459716796875,-0.07083308696746826,2.2322745323181152
1760903911013576200,0.681576171875,0.0004329681396484375,-0.02768576145172119,2.2217092514038086
1760903911023265300,0.691265380859375,-0.11162090301513672,-0.02886974811553955,2.113119602203369
1760903911032954400,0.700954345703125,-0.32527637481689453,-0.04960739612579346,2.0604612827301025
1760903911042643500,0.7106435546875,-0.5638856887817383,-0.07432401180267334,2.0145344734191895
1760903911052332500,0.72033251953125,-0.7895145416259766,-0.016243338584899902,1.8915448188781738
1760903911062021600,0.730021728515625,-0.9037485122680664,0.09215641021728516,1.7834373712539673
1760903911071710700,0.739710693359375,-0.903564453125,0.24144446849822998,1.7676517963409424
1760903911081399800,0.74939990234375,-0.8611297607421875,0.3281269073486328,1.8544889688491821
1760903911091089200,0.759089111328125,-0.7299203872680664,0.4042166471481323,2.052668333053589
1760903911100778200,0.7687783203125,-0.6382007598876953,0.4070128798484802,2.229250907897949
1760903911110467300,0.77846728515625,-0.7077388763427734,0.3230612874031067,2.36972713470459
1760903911120156400,0.788156494140625,-0.9650363922119141,0.19775104522705078,2.442117691040039
1760903911129845500,0.797845458984375,-1.267160415649414,0.05367952585220337,2.375755786895752
1760903911139534600,0.80753466796875,-1.3552522659301758,-0.025947988033294678,2.0658178329467773
1760903911149223700,0.8172236328125,-1.1337194442749023,-0.22556978464126587,1.435744285583496
1760903911158912800,0.826912841796875,-0.5262470245361328,-0.37719056010246277,0.8796314001083374
1760903911168601900,0.836601806640625,0.35924243927001953,-0.4646289348602295,0.5332128405570984
1760903911178291000,0.846291015625,1.2516107559204102,-0.39250296354293823,0.5450303554534912
1760903911187980000,0.85597998046875,1.7461862564086914,-0.12945127487182617,1.0821988582611084
1760903911197669400,0.86566943359375,1.6975536346435547,0.3781960606575012,1.9459421634674072
1760903911207358500,0.8753583984375,1.3293275833129883,1.0837314128875732,2.974996566772461
1760903911217047600,0.885047607421875,0.8148832321166992,1.8401132822036743,3.951688289642334
1760903911226736600,0.894736572265625,0.3866844177246094,2.44624662399292,4.44586181640625
1760903911236425700,0.90442578125,0.19407939910888672,2.795912981033325,4.3689751625061035
1760903911246114800,0.91411474609375,0.3567171096801758,2.724569082260132,3.801133155822754
1760903911255804000,0.923803955078125,0.932124137878418,2.2077906131744385,3.108596086502075
1760903911265493000,0.933492919921875,1.6421098709106445,1.5156817436218262,2.558450222015381
1760903911275182000,0.94318212890625,2.4815025329589844,0.7462460994720459,2.1121826171875
1760903911284871200,0.95287109375,3.2088241577148438,0.16991567611694336,1.8434619903564453
1760903911294560300,0.962560302734375,3.5093002319335938,-0.14235767722129822,1.6351982355117798
1760903911304249300,0.972249267578125,3.3596038818359375,-0.1263197958469391,1.560823917388916
1760903911313938400,0.9819384765625,2.769474983215332,0.015079975128173828,1.716090440750122
1760903911323627500,0.99162744140625,1.9801273345947266,0.23053181171417236,2.018420457839966
1760903911333316600,1.001316650390625,1.040696144104004,0.4722940921783447,2.36936616897583
1760903911343005700,1.011005615234375,0.06582164764404297,0.7570067644119263,2.6736550331115723
